S,K,T,r,sigma,moneyness,market_price,optionType,moneyness_category,expirationDate
284.67999267578125,285.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.998877167283443,9.3,call,ATM,2025-12-12
284.67999267578125,290.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.9816551471578664,6.81,call,ATM,2025-12-12
284.67999267578125,295.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.9650169243246822,4.79,call,ATM,2025-12-12
284.67999267578125,300.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.9489333089192709,3.2,call,OTM,2025-12-12
284.67999267578125,305.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.9333770251664959,2.33,call,OTM,2025-12-12
284.67999267578125,310.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.9183225570186492,1.55,call,OTM,2025-12-12
284.67999267578125,325.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.8759384390024039,0.23,call,OTM,2025-12-12
284.67999267578125,330.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.8626666444720644,0.27,call,OTM,2025-12-12
284.67999267578125,205.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.388682891101372,0.15,put,ITM,2025-12-12
284.67999267578125,210.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.3556190127418155,0.3,put,ITM,2025-12-12
284.67999267578125,250.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.138719970703125,1.15,put,ITM,2025-12-12
284.67999267578125,255.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.1163921281403186,1.6,put,ITM,2025-12-12
284.67999267578125,257.5,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.1055533696146844,1.77,put,ITM,2025-12-12
284.67999267578125,260.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.0949230487530048,2.05,put,ITM,2025-12-12
284.67999267578125,265.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.074264123304835,2.89,put,ITM,2025-12-12
284.67999267578125,270.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.0543703432436342,3.65,put,ITM,2025-12-12
284.67999267578125,272.5,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.044697220828555,7.98,put,ATM,2025-12-12
284.67999267578125,275.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.0351999733664772,5.25,put,ATM,2025-12-12
284.67999267578125,280.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.0167142595563616,7.3,put,ATM,2025-12-12
284.67999267578125,285.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.998877167283443,9.26,put,ATM,2025-12-12
284.67999267578125,287.5,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.9901912788722826,12.45,put,ATM,2025-12-12
284.67999267578125,290.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,0.9816551471578664,13.35,put,ATM,2025-12-12
284.67999267578125,115.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,2.4754781971807067,183.29,call,ITM,2025-12-19
284.67999267578125,195.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.4598973983373398,83.0,call,ITM,2025-12-19
284.67999267578125,210.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.3556190127418155,67.25,call,ITM,2025-12-19
284.67999267578125,220.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.2939999667080966,62.88,call,ITM,2025-12-19
284.67999267578125,240.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.1861666361490886,46.3,call,ITM,2025-12-19
284.67999267578125,260.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0949230487530048,24.82,call,ITM,2025-12-19
284.67999267578125,270.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0543703432436342,20.47,call,ITM,2025-12-19
284.67999267578125,275.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0351999733664772,14.41,call,ATM,2025-12-19
284.67999267578125,277.5,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0258738474802929,14.0,call,ATM,2025-12-19
284.67999267578125,280.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0167142595563616,13.85,call,ATM,2025-12-19
284.67999267578125,282.5,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.007716788232854,12.0,call,ATM,2025-12-19
284.67999267578125,285.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.998877167283443,10.97,call,ATM,2025-12-19
284.67999267578125,290.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.9816551471578664,8.75,call,ATM,2025-12-19
284.67999267578125,295.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.9650169243246822,6.71,call,ATM,2025-12-19
284.67999267578125,300.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.9489333089192709,5.15,call,OTM,2025-12-19
284.67999267578125,305.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.9333770251664959,3.4,call,OTM,2025-12-19
284.67999267578125,310.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.9183225570186492,2.59,call,OTM,2025-12-19
284.67999267578125,315.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.9037460084945437,1.87,call,OTM,2025-12-19
284.67999267578125,320.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.8896249771118164,1.5,call,OTM,2025-12-19
284.67999267578125,325.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.8759384390024039,1.05,call,OTM,2025-12-19
284.67999267578125,330.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.8626666444720644,0.64,call,OTM,2025-12-19
284.67999267578125,340.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.837294096105239,0.39,call,OTM,2025-12-19
284.67999267578125,350.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.8133714076450893,0.2,call,OTM,2025-12-19
284.67999267578125,360.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.7907777574327257,0.11,call,OTM,2025-12-19
284.67999267578125,400.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,0.7116999816894531,0.01,call,OTM,2025-12-19
284.67999267578125,105.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,2.711238025483631,0.1,put,ITM,2025-12-19
284.67999267578125,160.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.7792499542236329,0.08,put,ITM,2025-12-19
284.67999267578125,175.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.6267428152901786,0.1,put,ITM,2025-12-19
284.67999267578125,185.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.5388107712204393,0.15,put,ITM,2025-12-19
284.67999267578125,200.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.4233999633789063,0.27,put,ITM,2025-12-19
284.67999267578125,220.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.2939999667080966,0.53,put,ITM,2025-12-19
284.67999267578125,225.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.2652444118923611,0.56,put,ITM,2025-12-19
284.67999267578125,230.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.2377390985903534,0.7,put,ITM,2025-12-19
284.67999267578125,235.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.2114042241522607,0.88,put,ITM,2025-12-19
284.67999267578125,240.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.1861666361490886,1.05,put,ITM,2025-12-19
284.67999267578125,245.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.161959153778699,1.45,put,ITM,2025-12-19
284.67999267578125,247.5,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.1502221926294192,1.59,put,ITM,2025-12-19
284.67999267578125,250.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.138719970703125,1.67,put,ITM,2025-12-19
284.67999267578125,252.5,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.1274455155476486,1.97,put,ITM,2025-12-19
284.67999267578125,255.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.1163921281403186,2.34,put,ITM,2025-12-19
284.67999267578125,257.5,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.1055533696146844,2.58,put,ITM,2025-12-19
284.67999267578125,260.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0949230487530048,3.04,put,ITM,2025-12-19
284.67999267578125,262.5,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0844952101934524,3.55,put,ITM,2025-12-19
284.67999267578125,265.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.074264123304835,3.85,put,ITM,2025-12-19
284.67999267578125,267.5,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0642242716851635,4.64,put,ITM,2025-12-19
284.67999267578125,270.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0543703432436342,5.0,put,ITM,2025-12-19
284.67999267578125,272.5,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.044697220828555,6.34,put,ATM,2025-12-19
284.67999267578125,275.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0351999733664772,6.53,put,ATM,2025-12-19
284.67999267578125,280.0,0.06575342465753424,0.03732000112533569,0.2742176104409445,1.0167142595563616,8.5,put,ATM,2025-12-19
284.67999267578125,250.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,1.138719970703125,28.87,call,ITM,2025-12-26
284.67999267578125,280.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,1.0167142595563616,15.0,call,ATM,2025-12-26
284.67999267578125,285.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,0.998877167283443,12.1,call,ATM,2025-12-26
284.67999267578125,290.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,0.9816551471578664,9.98,call,ATM,2025-12-26
284.67999267578125,300.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,0.9489333089192709,6.2,call,OTM,2025-12-26
284.67999267578125,310.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,0.9183225570186492,2.9,call,OTM,2025-12-26
284.67999267578125,320.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,0.8896249771118164,2.0,call,OTM,2025-12-26
284.67999267578125,380.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,0.7491578754625823,0.18,call,OTM,2025-12-26
284.67999267578125,205.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,1.388682891101372,0.38,put,ITM,2025-12-26
284.67999267578125,250.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,1.138719970703125,2.27,put,ITM,2025-12-26
284.67999267578125,255.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,1.1163921281403186,3.25,put,ITM,2025-12-26
